user_id,item_id,rating,timestamp
807,1411,1,1998-04-20 14:30:19
474,659,5,1998-02-19 21:53:07
463,268,4,1997-10-20 22:02:20
139,286,4,1997-11-14 20:04:04
621,751,4,1998-01-03 03:54:11
264,137,3,1998-01-30 01:14:52
262,219,3,1997-11-17 19:16:46
7,300,4,1998-03-31 13:25:03
653,393,2,1997-11-21 22:47:06
235,198,3,1998-03-11 22:24:04
338,189,4,1997-11-13 16:27:29
592,307,4,1997-12-20 08:45:28
405,1478,1,1998-01-23 09:10:36
394,176,5,1997-12-03 06:20:08
325,1411,4,1998-04-02 01:03:01
74,272,5,1998-02-24 15:13:14
727,474,3,1998-01-02 03:15:10
457,458,3,1997-12-17 21:22:45
880,793,4,1997-11-22 04:57:57
573,492,4,1998-01-26 19:46:04
178,11,5,1997-12-22 21:29:22
405,994,1,1998-01-23 10:02:26
299,474,5,1997-10-26 15:41:14
919,815,2,1997-09-26 15:58:53
218,1073,5,1997-12-05 02:17:45
15,111,4,1997-11-13 21:18:34
749,238,3,1997-11-06 20:24:23
610,275,4,1998-02-28 22:04:13
343,135,5,1997-10-09 13:42:48
478,137,4,1998-03-08 23:04:20
870,1267,2,1997-11-11 17:43:33
938,151,4,1998-03-31 15:04:39
2,300,4,1998-03-04 02:39:57
932,514,5,1998-03-30 09:25:32
191,332,2,1998-04-03 00:08:10
680,25,4,1997-10-14 08:05:10
689,151,3,1997-10-12 17:15:01
767,187,4,1998-04-01 20:30:58
262,278,3,1997-11-17 18:19:01
241,310,4,1998-02-12 02:12:56
363,370,3,1998-04-02 06:57:49
692,476,3,1997-10-15 22:07:59
6,498,4,1997-12-31 20:44:13
215,134,4,1998-04-01 12:54:26
58,50,4,1998-01-09 00:05:28
580,222,3,1998-01-06 22:21:32
181,1296,1,1997-11-08 04:06:46
454,492,3,1998-02-23 20:44:03
643,674,3,1998-04-01 16:58:21
693,218,4,1997-09-28 21:51:13
838,72,4,1998-02-09 23:32:42
99,409,2,1998-01-24 22:03:31
488,200,2,1998-03-30 21:50:06
7,268,3,1998-03-31 13:25:03
697,1067,5,1997-12-20 12:49:30
772,315,5,1998-03-04 16:19:23
42,409,3,1997-12-02 23:44:30
561,217,3,1998-01-26 10:34:18
247,1022,4,1998-04-20 18:30:24
108,471,2,1997-11-18 19:07:56
487,282,4,1997-12-30 00:35:05
568,494,4,1997-10-26 23:17:15
178,1016,4,1997-12-22 20:57:33
308,193,3,1998-02-17 17:50:37
397,178,5,1998-01-21 02:29:19
158,510,3,1997-11-21 17:44:56
806,47,4,1997-12-17 19:39:23
712,232,3,1997-09-22 19:35:03
693,210,3,1997-09-28 22:00:44
610,606,5,1998-02-28 22:02:23
604,443,3,1998-01-01 15:25:52
470,221,4,1997-11-10 16:12:50
584,114,4,1998-01-26 01:30:38
312,1172,5,1998-04-04 14:18:58
820,264,3,1998-02-20 06:13:00
455,508,4,1997-12-14 23:16:25
316,323,1,1997-11-30 01:25:52
868,726,2,1997-10-17 17:38:46
152,944,4,1997-12-18 20:23:52
450,612,4,1997-12-17 22:09:24
809,333,3,1998-03-27 22:15:03
320,233,4,1998-01-14 03:41:21
896,225,1,1998-02-11 01:45:18
379,621,4,1997-11-26 06:30:15
486,883,3,1997-11-18 17:33:08
561,234,3,1998-01-26 10:00:24
235,483,5,1998-03-11 22:26:44
393,154,2,1998-02-17 20:11:42
637,408,5,1997-12-23 18:22:35
254,15,3,1998-02-03 02:01:47
869,282,3,1998-01-11 03:56:27
427,680,5,1997-11-16 17:28:46
264,1009,4,1998-01-30 01:40:17
918,433,2,1998-04-07 22:11:22
158,229,3,1997-11-21 17:48:52
766,435,3,1998-03-31 01:50:53
287,941,3,1997-09-27 04:43:44
917,248,4,1997-12-23 21:26:25
276,943,4,1998-01-03 10:14:45
387,52,5,1998-02-03 05:24:57
450,616,4,1997-12-17 15:46:37
268,151,3,1997-10-01 21:47:50
357,841,3,1997-11-08 01:18:38
334,347,3,1998-04-02 20:04:05
425,27,3,1997-11-05 14:04:55
845,896,3,1998-01-21 19:02:54
943,318,3,1998-02-28 04:11:33
554,276,3,1997-10-11 05:48:06
293,507,4,1998-03-03 06:14:25
292,56,5,1997-12-02 23:29:33
608,655,5,1997-11-24 21:03:15
254,649,1,1998-02-03 02:56:59
881,521,4,1997-10-11 02:44:30
406,482,5,1997-11-13 18:43:08
691,79,5,1997-09-29 14:23:45
60,207,3,1997-12-28 16:42:22
881,88,3,1997-10-11 02:56:35
332,684,5,1998-02-24 22:46:10
